EventID,FixedRandomValue
1209,"7.400830.204847,8248"
1210,"7.400830.204847,8248"
1211,"7.40083-0.90482,9460"
1212,"7.400830.204847,8248"
1213,"7.40083-0.0914931,2017"
1214,"7.40083-0.0914931,2017"
1215,"7.40083-0.0914931,2017"
1216,"7.40083-0.90482,9460"
1217,"7.40083-0.90482,9460"
1218,"7.40083-0.986378,8449"
1219,"7.400830.204847,8248"
1220,"1.31607-0.110262,11176"
1221,"7.400830.117971,19439"
1222,"7.40083-0.110262,11176"
1223,"7.40083-0.110262,11176"
1224,"7.400830.45032,13513"
1225,"7.400830.45032,13513"
1226,"7.400830.45032,13513"
1227,"7.400830.45032,13513"
1228,"7.400830.45032,13513"
1229,"7.400830.45032,13513"
1230,"7.400830.45032,13513"
1231,"7.400830.45032,13513"
1232,"1.31607-0.740934,19519"
1233,"7.400830.49806,1328"
1234,
1235,
1236,"7.400830.286281,1077"
1237,"7.40083-0.864567,19563"
1241,"7.400830.990919,717"
1242,"7.400830.990919,717"
1243,"7.40083-0.0830121,19601"
1244,"7.40083-0.0576501,19955"
1245,"1.31607-0.594767,19989"
1246,"7.40083-0.578739,18096"
1247,"1.316070.92639,19832"
1248,
1249,"7.400830.647525,17220"
1250,"7.40083-0.968394,17225"
1251,"7.400830.63224,6564"
1256,"7.400830.0641388,20169"
1257,"1.316070.991139,21498"
1258,"7.400830.5025,8813"
1259,"1.316070.5025,8813"
1260,"1.316070.997125,8099"
1261,"7.40083-0.439367,11523"
1262,
1263,
1264,
1265,
1266,"7.400830.381704,20280"
1269,"7.400830.723741,4302"
1270,
1271,"1.31607-0.0329076,20475"
1273,"7.400830.365371,20740"
1274,"7.40083-0.0829151,7828"
1275,"7.400830.0175683,19520"
1276,
1277,"7.40083-0.106896,2957"
1278,
1279,"7.400830.502584,18616"
1280,
1281,"7.400830.0507911,20792"
1282,"7.40083-0.908339,3413"
1283,"7.40083-0.104857,5951"
1284,"7.400830.277984,14612"
1285,
1286,"1.316070.779813,20909"
1287,
1288,"7.40083-0.102585,24413"
1290,
1291,
1292,
1293,
1294,
1295,
1296,"7.40083-0.0576501,19955"
1297,"7.400830.0790968,10018"
1298,
1299,"7.40083-0.736355,22644"
1300,"7.400830.333227,3425"
1301,"7.400830.0663207,17234"
1302,"7.40083-0.0667647,20947"
1303,"1.316070.226443,20973"
1304,"1.565080.438133,21116"
1305,"1.56508-0.0794434,21124"
1306,"7.400830.481376,4027"
1307,"1.56508-0.58189,21250"
1309,"7.400830.247028,21268"
1311,"1.316070.088564,8403"
1312,"7.400830.0252874,6283"
1313,"7.400830.153856,11047"
1314,"7.40083-0.799643,1782"
1315,
1316,"7.400830.291024,7009"
1317,
1318,"7.400830.642008,14759"
1320,"7.400830.642008,14759"
1321,"7.40083-0.854793,16864"
1322,"7.40083-0.78649,19274"
1323,
1324,"7.40083-0.534381,23418"
1325,"7.40083-0.317785,15623"
1326,
1327,"7.40083-0.173403,21297"
1328,"7.40083-0.637517,14099"
1329,"7.400830.464275,18584"
1330,"7.400830.483799,1124"
1332,"7.40083-0.873281,21457"
1333,"7.400830.764045,1979"
1334,"7.400830.415736,19314"
1335,"1.316070.346311,13820"
1338,"1.31607-0.466724,13433"
1339,"1.31607-0.466724,13433"
1340,"1.31607-0.466724,13433"
1341,"1.73205-0.466724,13433"
1344,"7.400830.196582,13134"
1345,"7.400830.0338943,472"
1346,"7.40083-0.465817,11936"
1347,
1350,"7.400830.212398,21485"
1351,"7.40083-0.212473,21515"
1353,"7.40083-0.259252,21555"
1354,"7.40083-0.00427587,21559"
1355,"7.40083-0.00427587,21559"
1356,"7.400830.531516,9285"
1357,"7.400830.531516,9285"
1358,"7.400830.531516,9285"
1359,
1360,
1362,"7.400830.294391,1195"
1363,"7.400830.151657,7518"
1364,"7.400830.37208,11239"
1365,"7.400830.175631,18768"
1366,
1368,"1.316070.204109,21603"
1369,"7.40083-0.482664,9237"
1370,"7.40083-0.515475,21626"
1371,"7.400830.598928,21455"
1372,"7.40083-0.515475,21626"
1373,"7.40083-0.515475,21626"
1374,"7.40083-0.515475,21626"
1375,
1376,"7.40083-0.515475,21626"
1377,"7.40083-0.515475,21626"
1378,
1379,"7.400830.204109,21603"
1380,"7.400830.204109,21603"
1381,"7.400830.204109,21603"
1382,"7.400830.204109,21603"
1383,"7.400830.602949,13459"
1384,"7.40083-0.185946,380"
1385,"7.40083-0.515475,21626"
1386,
1387,
1388,"7.400830.19973,11696"
1389,"7.400830.506126,12628"
1390,"7.400830.573995,4064"
1391,"7.40083-0.185946,380"
1392,"1.565080.567959,21986"
1393,"7.40083-0.687434,12777"
1394,"7.40083-0.524549,2691"
1395,"7.40083-0.215838,13281"
1396,"7.400830.774332,12331"
1397,"7.40083-0.840695,12786"
1398,"7.40083-0.524549,2691"
1399,"7.40083-0.215838,13281"
1409,"7.40083-0.291746,6346"
1410,"7.40083-0.716127,11127"
1411,"7.400830.0493607,4502"
1412,"7.40083-0.725061,4621"
1413,"7.400830.785665,8135"
1414,
1415,"7.40083-0.44776,19067"
1416,"7.400830.321379,11969"
1417,"7.400830.321379,11969"
1418,"7.400830.342588,1903"
1419,"7.400830.321379,11969"
1420,"7.400830.321379,11969"
1421,"7.400830.321379,11969"
1422,"7.400830.321379,11969"
1423,"7.40083-0.0308577,17481"
1424,"7.400830.833572,22605"
1425,"7.40083-0.153148,19192"
1426,"7.40083-0.021322,5634"
1427,
1428,"7.400830.164381,8230"
1429,
1430,"7.40083-0.829758,23442"
1431,"7.40083-0.081855,15169"
1432,"7.40083-0.0914931,2017"
1433,"7.400830.395397,3978"
1434,"7.40083-0.0914931,2017"
1435,
1439,"7.400830.125769,273"
1440,
1441,"7.40083-0.949239,9260"
1442,"1.86121-0.323613,24605"
1443,"7.40083-0.423114,11710"
1444,"1.316070.395771,21765"
1446,"7.40083-0.0354611,21747"
1448,
1449,"7.400830.287857,21858"
1450,"1.316070.607846,22441"
1451,"7.40083-0.167073,18421"
1452,"7.400830.00690738,22337"
1453,
1455,"7.40083-0.243708,14365"
1456,"7.400830.246165,13842"
1457,"7.40083-0.903082,6052"
1458,"7.40083-0.137489,6976"
1459,"7.400830.405203,14705"
1460,
1461,
1462,"7.400830.378949,11640"
1463,"7.400830.378949,11640"
1464,"7.400830.378949,11640"
1465,"7.40083-0.378447,12076"
1466,"7.40083-0.378447,12076"
1467,"7.400830.321379,11969"
1468,"7.400830.342588,1903"
1469,"7.400830.321379,11969"
1470,"7.400830.321379,11969"
1471,"7.400830.321379,11969"
1472,
1473,
1474,
1475,"7.400830.528562,22581"
1476,"7.400830.528562,22581"
1477,"7.400830.964697,10746"
1478,"7.400830.0201229,22702"
1479,"7.400830.125769,273"
1480,"7.40083-0.882508,12829"
1481,"7.400830.698497,13732"
1482,"7.400830.698497,13732"
1483,"7.400830.252481,16463"
1484,"7.400830.252481,16463"
1485,"7.400830.333391,12146"
1486,"7.40083-0.462183,5948"
1487,"7.40083-0.59402,8937"
1488,"7.400830.962152,9131"
1489,"7.40083-0.90482,9460"
1490,"7.400830.54037,9103"
1491,"7.40083-0.658341,4822"
1492,"7.400830.170448,17212"
1493,"7.400830.252124,22824"
1494,"7.400830.996726,5916"
1495,
1496,"1.316070.989572,16469"
1497,"7.400830.989572,16469"
1498,"7.40083-0.737807,1791"
1499,"7.400830.20083,14236"
1500,"7.400830.0514473,19992"
1501,"7.400830.0514473,19992"
1502,"7.400830.0514473,19992"
1503,
1504,"7.40083-0.462183,5948"
1505,"7.400830.778855,22810"
1506,"7.40083-0.274599,22816"
1507,
1508,"7.40083-0.315675,2942"
1510,"1.31607-0.813143,22858"
1511,"7.40083-0.813143,22858"
1512,"7.40083-0.864897,21221"
1513,"7.40083-0.315675,2942"
1514,"7.40083-0.95315,12063"
1515,"7.40083-0.95315,12063"
1516,"7.40083-0.95315,12063"
1517,
1518,"7.40083-0.0973487,22857"
1520,"1.861210.219672,22864"
1521,
1522,"7.400830.818437,6669"
1523,"7.400830.848833,5902"
1524,"7.400830.848833,5902"
1525,"7.400830.848833,5902"
1526,"7.40083-0.903464,13478"
1527,"7.400830.579022,13046"
1528,
1529,
1530,"7.400830.150681,12485"
1531,"7.40083-0.671965,14947"
1532,
1533,
1534,"7.400830.693216,12318"
1536,"7.400830.344132,22684"
1537,
1538,"7.40083-0.280511,13834"
1539,"7.40083-0.00106379,22997"
1540,"1.316070.186992,23377"
1541,"7.40083-0.917066,12453"
1542,"7.40083-0.834405,4105"
1543,"7.40083-0.802099,7770"
1544,"7.400830.554442,2938"
1545,"7.400830.409321,2906"
1546,
1547,
1548,"7.40083-0.871323,11960"
1549,"7.40083-0.894179,13183"
1550,"7.400830.1255,12131"
1551,
1552,"7.400830.316611,22945"
1553,"7.40083-0.157296,2249"
1554,
1555,
1556,"7.400830.17142,2791"
1557,"7.400830.845585,6616"
1558,"7.40083-0.577681,7735"
1559,"7.400830.316611,22945"
1560,"7.40083-0.611879,8426"
1561,
1562,
1563,"7.400830.511689,5996"
1564,"7.40083-0.00236043,12636"
1565,"7.400830.124444,10866"
1566,"7.400830.973007,23076"
1567,"7.40083-0.767169,17364"
1568,
1569,"7.400830.0619566,23104"
1570,"7.400830.0619566,23104"
1571,
1575,"7.400830.0619566,23104"
1576,"7.400830.371828,23097"
1577,"7.40083-0.114204,23093"
1578,"7.400830.257738,664"
1580,"7.400830.0704132,23222"
1581,"7.400830.0674792,12802"
1582,
1583,
1584,"7.400830.0746396,23281"
1585,"7.40083-0.521168,14608"
1586,"7.400830.158041,11106"
1587,
1588,
1589,"7.40083-0.131026,23329"
1590,"7.40083-0.226009,17260"
1591,"7.40083-0.226009,17260"
1592,"7.40083-0.226009,17260"
1593,
1594,"7.40083-0.185946,380"
1595,
1596,
1598,"7.400830.494886,947"
1599,
1600,"7.400830.186479,23336"
1601,"7.400830.734914,23350"
1602,"1.31607-0.256747,833"
1604,"1.316070.186992,23377"
1605,"7.400830.321379,11969"
1606,"7.400830.353382,14988"
1607,"7.400830.880232,14986"
1608,"7.400830.880232,14986"
1609,"7.400830.284279,23417"
1610,"7.400830.09602,11718"
1611,"7.400830.0873106,23458"
1612,"7.40083-0.154659,24527"
1613,"7.400830.234088,1807"
1614,
1615,"7.400830.419552,2127"
1616,"7.40083-0.99895,23456"
1617,
1618,"7.400830.072556,1213"
1619,"1.31607-0.122102,23502"
1620,
1621,"7.400830.167511,14708"
1622,"7.400830.167511,14708"
1623,"7.400830.167511,14708"
1624,
1625,
1626,
1627,
1628,
1629,"7.400830.302186,8329"
1632,
1633,"7.40083-0.217104,23642"
1634,"7.40083-0.545278,9763"
1635,"7.40083-0.23023,10110"
1636,"7.400830.236909,9273"
1637,"7.400830.504038,23665"
1638,"7.400830.152804,11950"
1639,"1.316070.999722,23681"
1640,
1641,
1642,"7.40083-0.366866,21459"
1643,"7.40083-0.105261,23738"
1644,"1.316070.346311,13820"
1645,"7.400830.0445096,23845"
1646,"7.400830.220181,23849"
1647,"7.40083-0.996065,23847"
1648,"7.400830.514977,23842"
1649,"7.400830.984238,23843"
1650,
1651,"7.40083-0.306057,23841"
1652,
1653,"7.40083-0.00236043,12636"
1654,"7.40083-0.0968296,23856"
1655,"7.40083-0.0968296,23856"
1656,"7.40083-0.81284,23855"
1657,"7.40083-0.0968296,23856"
1658,"7.400830.937556,23851"
1659,"7.400830.937556,23851"
1660,"7.400830.121025,23930"
1661,"7.40083-0.196374,23937"
1662,"7.40083-0.306057,23841"
1663,"7.40083-0.0968296,23856"
1664,"7.40083-0.744549,23892"
1665,"1.31607-0.872828,7469"
1667,
1668,"7.400830.497138,21669"
1669,"7.40083-0.0914931,2017"
1670,"7.40083-0.111012,24531"
1671,"7.400830.102644,24516"
1672,"7.40083-0.999537,24518"
1673,"7.400830.351589,23911"
1674,"7.40083-0.0926111,23915"
1675,"7.400830.351589,23911"
1676,"7.400830.936073,23910"
1677,
1678,
1679,"7.400830.224312,23908"
1680,
1681,"7.400830.110532,682"
1683,"7.400830.0206443,24011"
1684,"7.400830.0418216,24306"
1685,"7.400830.0233342,24140"
1686,"7.40083-0.903945,12454"
1687,"7.40083-0.586992,24303"
1688,"7.400830.693787,22537"
1689,"7.40083-0.987066,8508"
1696,"7.400830.999067,24234"
1697,
1698,"7.400830.409073,14764"
1699,"7.40083-0.281755,24195"
1700,"7.40083-0.281755,24195"
1701,"7.40083-0.281755,24195"
1702,"7.400830.536603,24196"
1703,"7.400830.409073,14764"
1704,"7.400830.0190976,24199"
1705,"7.400830.850007,12663"
1706,"7.40083-0.914579,18029"
1707,
1708,
1709,"7.40083-0.462183,5948"
1710,"7.400830.373947,7267"
1711,"7.40083-0.175556,24232"
1712,"7.400830.152804,11950"
1713,
1714,
1715,
1716,
1717,
1718,
1719,
1720,
1721,
1722,"7.400830.705525,23940"
1723,"7.400830.0375873,24247"
1724,"7.40083-0.00744963,1379"
1725,"7.400830.382902,9919"
1726,"7.40083-0.273389,9045"
1727,"7.400830.178926,11401"
1728,"7.40083-0.0962899,140"
1729,
1730,"7.40083-0.756162,4372"
1731,"7.400830.146222,24284"
1732,"7.400830.353037,24299"
1733,"7.400830.214534,24420"
1734,"7.400830.999241,24293"
1735,"7.400830.994443,12988"
1737,"1.316070.222804,24302"
1738,"7.40083-0.202308,12474"
1739,"7.400830.321379,11969"
1740,"7.400830.321379,11969"
1741,"7.400830.321507,6040"
1746,"7.40083-0.202043,24332"
1747,"7.400830.323669,24324"
1748,"7.400830.115281,24339"
1749,"1.31607-0.748398,24377"
1750,"7.400830.343642,24029"
1751,
1752,"7.40083-0.999797,11952"
1753,
1754,"7.40083-0.751202,24436"
1755,"7.40083-0.999797,11952"
1756,"7.40083-0.999797,11952"
1757,"7.40083-0.55441,24438"
1758,"7.40083-0.327968,14623"
1759,
1760,"7.40083-0.327968,14623"
1761,
1762,"7.40083-0.506309,24443"
1763,"7.400830.123427,12363"
1764,"7.40083-0.455684,1398"
1765,"7.400830.739763,12871"
1767,
1768,"7.40083-0.210336,24450"
1769,"7.40083-0.625274,18767"
1771,"7.40083-0.315583,24487"
1772,
1773,
1774,"7.40083-0.361009,24512"
1775,
1776,
1777,
1778,
1779,
1780,
1781,
1782,
1783,"7.400830.95623,24522"
1784,
1785,
1786,
1788,
1789,
1791,"7.400830.972261,24514"
1792,
1793,
1794,"7.400830.464155,24513"
1795,"7.40083-0.681056,24517"
1796,"7.40083-0.0020893,24494"
1797,"7.40083-0.214477,24509"
1798,"7.400830.158041,11106"
1799,
1802,"7.40083-0.696417,24812"
1803,"7.400830.12953,3381"
1804,"7.400830.12953,3381"
1805,"7.400830.12953,3381"
1806,
1807,"7.40083-0.00632686,24553"
1808,
1809,"7.40083-0.00632686,24553"
1810,
1811,"1.565080.0629801,24601"
1813,
1814,"7.40083-0.344096,1184"
1815,"7.40083-0.556003,15515"
1816,"7.40083-0.821063,24532"
1817,"7.40083-0.556003,15515"
1818,
1820,"7.40083-0.231001,24745"
1821,"7.40083-0.231001,24745"
1822,"7.400830.0262743,13720"
1823,"7.40083-0.337674,21847"
1824,"7.40083-0.160639,11884"
1825,"7.400830.991139,21498"
1826,"7.400830.991139,21498"
1827,"7.400830.708522,23881"
1828,"7.40083-0.0521625,11847"
1829,"7.40083-0.0521625,11847"
1830,"7.40083-0.0521625,11847"
1831,"7.400830.868066,24655"
1832,
1833,
1836,
1837,
1838,
1839,
1841,
1842,
1843,
1844,
1845,"7.400830.742633,8688"
1846,"7.40083-0.336964,8492"
1847,"7.400830.5025,8813"
1848,
1849,"7.40083-0.0376463,24682"
1853,"7.40083-0.998877,24754"
1854,"7.40083-0.547336,24556"
1855,
1856,"1.316070.800281,24779"
1857,"7.400830.160066,14100"
1858,
1859,
1860,
1861,"7.400830.576701,24803"
1862,"7.400830.321379,11969"
1863,"7.400830.321379,11969"
1864,"7.400830.321379,11969"
1865,"7.400830.321379,11969"
1866,"7.400830.321379,11969"
1867,"7.40083-0.335615,24782"
