ID,Name,TermTranslation,Background,InventedBy,InventedByMemberID,ObjectID,StatusID,PageHits,BackgroundNoHtml
51,סמרטוט רצפה,סחבה לספונג'ה,"ביום חמישי, יום הנקיון, שוטפים את החדר. שופכים מים, עוברים עם סמרטוט ספוג במים, אותם מורידים באמצעות ""מקל גומי"" (מגב) ואחר כך מנגבים עם סמרטוט רצפה, הפעם סחוט ויבש.
לסמרטוט הרצפה נוספו שימושים עם השנים, כמו לחסום את החריץ שמתחת לדלת נגד נמלים וג'וקים, לשמש 'מבודד' בלוחמת האב""כ ועוד.
בארצות לא כל כך מפותחות, כמו ארצות הברית, המונח וגם הסמרטוט אינם מוכרים, מה שהופך אותם למתנה רצויה כשנוסעים לבקר חברים או בני משפחה השוהים שם.",,-1,4,2,1957,"ביום חמישי, יום הנקיון, שוטפים את החדר. שופכים מים, עוברים עם סמרטוט ספוג במים, אותם מורידים באמצעות ""מקל גומי"" (מגב) ואחר כך מנגבים עם סמרטוט רצפה, הפעם סחוט ויבש.
לסמרטוט הרצפה נוספו שימושים עם השנים, כמו לחסום את החריץ שמתחת לדלת נגד נמלים וג'וקים, לשמש 'מבודד' בלוחמת האב""כ ועוד.
בארצות לא כל כך מפותחות, כמו ארצות הברית, המונח וגם הסמרטוט אינם מוכרים, מה שהופך אותם למתנה רצויה כשנוסעים לבקר חברים או בני משפחה השוהים שם."
52,קופסא,"מצוף גלילי, קופסת פח ללימוד שחיה","כל ילדי הגנים למדו שחייה בבריכת זקס. הבריכה היתה עמוקה ולמרבית הילדים היתה בעיית ציפה.  ב'רימון' מילאו באותם ימים רכז ומיץ בקופסאות פח והנה .. נמצא הפתרון. הפחח של רימון הלחים לולאות לקופסא, ורצועת בד חיברה את הינוקות ל'אזניים' ולא מעט אלופי שחייה יצאו לדרך (לאחר כמובן שהשתחררו מהקופסא).לקופסא היו גם חסרונות : בקפיצה למים היתה קופסת הפח חובטת בראש הפעוט, לפעמים הרצועות היו נפתחות וה'שחיין' הצעיר היה שוקע לפתע , לעיתים הקשר מאחור היה מסתבך ו'פרח השחיה' היה מגיע לחדר ההורים עם הקופסא על גבו.. ",כנראה בנימין זק,-1,4,2,1861,"כל ילדי הגנים למדו שחייה בבריכת זקס. הבריכה היתה עמוקה ולמרבית הילדים היתה בעיית ציפה.  ב'רימון' מילאו באותם ימים רכז ומיץ בקופסאות פח והנה .. נמצא הפתרון. הפחח של רימון הלחים לולאות לקופסא, ורצועת בד חיברה את הינוקות ל'אזניים' ולא מעט אלופי שחייה יצאו לדרך (לאחר כמובן שהשתחררו מהקופסא).לקופסא היו גם חסרונות : בקפיצה למים היתה קופסת הפח חובטת בראש הפעוט, לפעמים הרצועות היו נפתחות וה'שחיין' הצעיר היה שוקע לפתע , לעיתים הקשר מאחור היה מסתבך ו'פרח השחיה' היה מגיע לחדר ההורים עם הקופסא על גבו.. "
53,חדר,דירת המגורים הקיבוצית,"בהתחלה היה אוהל ובו גרו החלוצים, אחר כך בנו צריף ולבסוף גם בית של ממש, מבלוקים ומלט. גודל הדירה הראשונה, לפי תקן הקיבוץ המאוחד היה 12 מ""ר ורוב המשפחות הסתדרו לא רע. כמובן שהמרפסות הורחבו וחריגות ה'בניה' פרחו. עם השנים הוגדל ה'חדר' ל- 32 מ""ר והגיע עד 80 מ""ר - ממש וילה. דבר אחד לא השתנה. ילדי וחברי הקיבוץ קראו לביתם - חדר. ""עכשו אתה הולך לחדר"" אמרה המטפלת לילד שנשאר לשחק בגן או בכיתה..
""אני רוצה לישון בחדר"", ייבב פעוט שלא נהנה במיוחד בבית הכולל. ""בחדר שלי עם אשתי..אין לו בושה"" נהם הבעל המקורנן...",,-1,4,2,1863,"בהתחלה היה אוהל ובו גרו החלוצים, אחר כך בנו צריף ולבסוף גם בית של ממש, מבלוקים ומלט. גודל הדירה הראשונה, לפי תקן הקיבוץ המאוחד היה 12 מ""ר ורוב המשפחות הסתדרו לא רע. כמובן שהמרפסות הורחבו וחריגות ה'בניה' פרחו. עם השנים הוגדל ה'חדר' ל- 32 מ""ר והגיע עד 80 מ""ר - ממש וילה. דבר אחד לא השתנה. ילדי וחברי הקיבוץ קראו לביתם - חדר. ""עכשו אתה הולך לחדר"" אמרה המטפלת לילד שנשאר לשחק בגן או בכיתה..
""אני רוצה לישון בחדר"", ייבב פעוט שלא נהנה במיוחד בבית הכולל. ""בחדר שלי עם אשתי..אין לו בושה"" נהם הבעל המקורנן..."
54,בית כולל,בית המכיל כיתה חדר אוכל וחדרי מגורים,"כאשר הגיעו ילדי הגבעה הראשונים לגיל בית הספר, חיפשו פרנסי החינוך פתרון עבורם.
איך לשמור על המסגרת החברתית שבה ""משפחת הילד"" היא בני הכיתה שלו והמטפלות הם ה'הורים' שלו - ואז הומצא 'הבית הכולל'. המבנה הכיל כיתת לימוד, חדר אוכל וחדרי שינה והילדים בילו 20 שעות ביממה בבית הכולל (בין ארבע אחה""צ לשמונה בערב הלכו ל'חדר').
על גבעת בית ספר ניצבו 5 בתים כוללים ובהם גרו ילדי כיתות א' עד ו'. מאחר וזה היה 'הבית' שלנו הרגשנו בו כ'בעלי בית' וכל זר או מבוגר שנכנס ל'טריטוריה' (גם בתפקיד) זכה ליחס הולם..
",לא ידוע,-1,4,2,2006,"כאשר הגיעו ילדי הגבעה הראשונים לגיל בית הספר, חיפשו פרנסי החינוך פתרון עבורם.
איך לשמור על המסגרת החברתית שבה ""משפחת הילד"" היא בני הכיתה שלו והמטפלות הם ה'הורים' שלו - ואז הומצא 'הבית הכולל'. המבנה הכיל כיתת לימוד, חדר אוכל וחדרי שינה והילדים בילו 20 שעות ביממה בבית הכולל (בין ארבע אחה""צ לשמונה בערב הלכו ל'חדר').
על גבעת בית ספר ניצבו 5 בתים כוללים ובהם גרו ילדי כיתות א' עד ו'. מאחר וזה היה 'הבית' שלנו הרגשנו בו כ'בעלי בית' וכל זר או מבוגר שנכנס ל'טריטוריה' (גם בתפקיד) זכה ליחס הולם..
"
55,שורות,שכונת המגורים של כיתות ו'- ח',"החינוך המשותף דאג להתפתחות אבולוציונית חברתית ואישית של חניכיו ועל כן לאחר החמישיות, גן הילדים והבית הכולל הגיעו ילדי הגבעה ל'שורות'. בגיל 11 או 12 כאשר סימני ההתבגרות כבר ניתנים לזיהוי מרחוק זכו ה'נערים/ות' ב'חדר' משלהם שבו לכל אחד מיטה וארון קטן, מקלחת ושירותים בקצה המסדרון (הפתוח). בכל בית היו 4 חדרים ובכל חדר 4 ילדים כך שבשעות הלחץ כאשר פעמון בית הספר כבר צילצל, התור לשירותים היה כבר מפוצץ..
מרכז הפעילות החברתית היה 'חדר העבודה' של המטפלת ולמה שנעשה שם יש קשר מועט ביותר לחינוך..משותף...",,-1,4,2,1994,"החינוך המשותף דאג להתפתחות אבולוציונית חברתית ואישית של חניכיו ועל כן לאחר החמישיות, גן הילדים והבית הכולל הגיעו ילדי הגבעה ל'שורות'. בגיל 11 או 12 כאשר סימני ההתבגרות כבר ניתנים לזיהוי מרחוק זכו ה'נערים/ות' ב'חדר' משלהם שבו לכל אחד מיטה וארון קטן, מקלחת ושירותים בקצה המסדרון (הפתוח). בכל בית היו 4 חדרים ובכל חדר 4 ילדים כך שבשעות הלחץ כאשר פעמון בית הספר כבר צילצל, התור לשירותים היה כבר מפוצץ..
מרכז הפעילות החברתית היה 'חדר העבודה' של המטפלת ולמה שנעשה שם יש קשר מועט ביותר לחינוך..משותף..."
56,חטיבה,"ארגון הגג של בני הקיבוץ מכיתות ז' - י""ב","בשנת 1954 ביוזמת מספר בני י""ב לפני גיוס ברחבי הארץ הוחלט להקים את חטיבת בני הקיבוץ המאוחד, מעין ארגון גג לנוער בכיתות ז'-י""ב.  בג""ב הגדולה בקיבוצים הוחלט לחלק את החטיבה ל- 4 מחנות: אמיר אלון ארז וניצן. בני י""ב דאז, הכיתה של זאבי רייס ניהלו את החטיבה. הפעילות כללה הדרכה לכיתות הצעירות, טיולים, ערבי הווי, חגים, בטאון 'חבריא' וכיו""ב. עם השנים החטיבה היתה לכוח חשוב בקיבוץ, ביצעה קטיף תחרותי בפרדס וגיוסים במשק, קיימה את 'יום עודד' ואליפויות ספורט ודאגה מדי שנה ל'השביע' את בני כתה ז' בצורה 'מקורית'...",לא ידוע,-1,4,2,1988,"בשנת 1954 ביוזמת מספר בני י""ב לפני גיוס ברחבי הארץ הוחלט להקים את חטיבת בני הקיבוץ המאוחד, מעין ארגון גג לנוער בכיתות ז'-י""ב.  בג""ב הגדולה בקיבוצים הוחלט לחלק את החטיבה ל- 4 מחנות: אמיר אלון ארז וניצן. בני י""ב דאז, הכיתה של זאבי רייס ניהלו את החטיבה. הפעילות כללה הדרכה לכיתות הצעירות, טיולים, ערבי הווי, חגים, בטאון 'חבריא' וכיו""ב. עם השנים החטיבה היתה לכוח חשוב בקיבוץ, ביצעה קטיף תחרותי בפרדס וגיוסים במשק, קיימה את 'יום עודד' ואליפויות ספורט ודאגה מדי שנה ל'השביע' את בני כתה ז' בצורה 'מקורית'..."
57,קטיף התפוזים,תחרות סוציאליסטית - מי קוטף הכי הרבה..,"בשנות ה- 60, לקחה החטיבה את קטיף ההדרים לידיה. מדי צהריים יצאנו בטרקטור ועגלה לשטח הפרדס המיועד לקטיף. לכל מחנה התלווה חבר שדאג לסולמות לתרמילים ולמקטפות אך בעיקר השגיח שהנוער: א. קוטף ולא תולש את הפרי ב. ממלא מיכלים עד הסוף. ג. לא יוצא למשימות 'כיסוח' בשטח. לכל חלקה היתה 'נורמה' שבה נקבעו מספרי המיכלים לקוטף/ת ובסוף כל יום נספרו המיכלים ונקבעה התוצאה. כמובן שהיו חלקות 'טובות' עם עצים נמוכים והרבה פרי והיו גם 'אלוני ממרא'.. בערב היו מעדכנים את הגרף שעל לוח המודעות בחדר האוכל, ומתחילים להתווכח..",,-1,4,2,1838,"בשנות ה- 60, לקחה החטיבה את קטיף ההדרים לידיה. מדי צהריים יצאנו בטרקטור ועגלה לשטח הפרדס המיועד לקטיף. לכל מחנה התלווה חבר שדאג לסולמות לתרמילים ולמקטפות אך בעיקר השגיח שהנוער: א. קוטף ולא תולש את הפרי ב. ממלא מיכלים עד הסוף. ג. לא יוצא למשימות 'כיסוח' בשטח. לכל חלקה היתה 'נורמה' שבה נקבעו מספרי המיכלים לקוטף/ת ובסוף כל יום נספרו המיכלים ונקבעה התוצאה. כמובן שהיו חלקות 'טובות' עם עצים נמוכים והרבה פרי והיו גם 'אלוני ממרא'.. בערב היו מעדכנים את הגרף שעל לוח המודעות בחדר האוכל, ומתחילים להתווכח.."
58,סקווש,"מיץ מרוכז, תרכיז מתוצרת 'רימון'","'סקווש' באנגלית זה למעוך, זו דלעת מהגינה, בעולם הרחב זה כינוי למשחק טניס מול קיר, אבל בגבעת ברנר - סקווש זה מיץ. לא כל מיץ וכמובן שלא מכל תוצרת אנונימית. הסקווש הוא מיץ מרוכז מתוצרת בית החרושת 'רימון', עדיף לימון או פטל אך אפשר גם תפוזים אשכולית או מנדרינות. את הסקווש מכרו ""בחוץ"" בבקבוקים אך החברים העדיפו לקחתו בדמינג'אנות, עוד מושג שכבודו מונח ב'ארון הספרים הברנרי'. הסקווש היה מרכיב בלתי נפרד מהווי טיולי החטיבה, 'דייר' קבוע בשולחנות חגי המשק וכמובן חלק אינטגרלי ממקררי 'סיביר' עליהם השלום. ",מושג מייד אין 'רימון'..כנראה מתקופת הבריטים,-1,4,2,2060,"'סקווש' באנגלית זה למעוך, זו דלעת מהגינה, בעולם הרחב זה כינוי למשחק טניס מול קיר, אבל בגבעת ברנר - סקווש זה מיץ. לא כל מיץ וכמובן שלא מכל תוצרת אנונימית. הסקווש הוא מיץ מרוכז מתוצרת בית החרושת 'רימון', עדיף לימון או פטל אך אפשר גם תפוזים אשכולית או מנדרינות. את הסקווש מכרו ""בחוץ"" בבקבוקים אך החברים העדיפו לקחתו בדמינג'אנות, עוד מושג שכבודו מונח ב'ארון הספרים הברנרי'. הסקווש היה מרכיב בלתי נפרד מהווי טיולי החטיבה, 'דייר' קבוע בשולחנות חגי המשק וכמובן חלק אינטגרלי ממקררי 'סיביר' עליהם השלום. "
59,דמינג'אנה,"כלי קיבול מפלסטיק לנוזלים, עדיף ממותקים","ביח""ר 'רימון' החל את דרכו התעשייתית כספק ריבות, שימורים ומיצים לצבא הבריטי שלחם במדבר המערבי בגרמנים ומירר ליהודים את החיים בפלסטינה. לאחר שהוקמה המדינה חזרו הביתה חיילי הוד מלכותו, לא לפני שהשאירו כאן מספר מושגים שאחד מהם זה כלי הפלסטיק הקרוי - דמינג'אנה. בדמינג'אנה מילאו מיצים מכל הסוגים ושלחו אותם מעבר לכביש ואף מעבר לים, בדמינג'אנה לקחו מים לשדה, לפיקניק ולטיולים, אך מעל לכל שימשה הדמינג'אנה (יחד עם הדופיה והאגס) כקוד זיהוי בין בני ג""ב בארץ ובעולם...או שידעת מה זה דמינג'אנה או שאתה 'לא מפה'.",מושג איטלקי שהושרש בימי המנדט,-1,4,2,2102,"ביח""ר 'רימון' החל את דרכו התעשייתית כספק ריבות, שימורים ומיצים לצבא הבריטי שלחם במדבר המערבי בגרמנים ומירר ליהודים את החיים בפלסטינה. לאחר שהוקמה המדינה חזרו הביתה חיילי הוד מלכותו, לא לפני שהשאירו כאן מספר מושגים שאחד מהם זה כלי הפלסטיק הקרוי - דמינג'אנה. בדמינג'אנה מילאו מיצים מכל הסוגים ושלחו אותם מעבר לכביש ואף מעבר לים, בדמינג'אנה לקחו מים לשדה, לפיקניק ולטיולים, אך מעל לכל שימשה הדמינג'אנה (יחד עם הדופיה והאגס) כקוד זיהוי בין בני ג""ב בארץ ובעולם...או שידעת מה זה דמינג'אנה או שאתה 'לא מפה'."
60,"מנאז',""סיר המעלות"" או 'סיר הסירים","כלי קיבול רב קומות לאוכל,","בהתחלה החברים אכלו בחדר האוכל. למי שלא יכול היה להגיע לארוחה מסיבות כלשהן (מחלה, עבודה וכו) הביאו בצלחת מכוסה את המנה. עם השנים החלו חברים רבים לאכול ב'חדר' וכדי לא לוותר על שום מנה (מרק, סלט, מנה עיקרית ואחרונה) נבנה כלי שהורכב ממספר קעריות פח עגולות שהושמו אחת על השניה וחוברו יחד דרך 'אזניים' בשני פסי מתכת מקבילים שהסתיימו בידית מרכזית. למנאז' היו מספר יתרונות: הוא שמר על חום המנה, הוא הפריד בין נוזלי המרק והקומפוט לבין האורז תפוחי האדמה הירקות והבשר, והעיקר - איש לא ידע כמה אוכל נושא המנאז'. ","מושג מצרפתית, סיר המעלות - יוסף אחאי",-1,4,2,2298,"בהתחלה החברים אכלו בחדר האוכל. למי שלא יכול היה להגיע לארוחה מסיבות כלשהן (מחלה, עבודה וכו) הביאו בצלחת מכוסה את המנה. עם השנים החלו חברים רבים לאכול ב'חדר' וכדי לא לוותר על שום מנה (מרק, סלט, מנה עיקרית ואחרונה) נבנה כלי שהורכב ממספר קעריות פח עגולות שהושמו אחת על השניה וחוברו יחד דרך 'אזניים' בשני פסי מתכת מקבילים שהסתיימו בידית מרכזית. למנאז' היו מספר יתרונות: הוא שמר על חום המנה, הוא הפריד בין נוזלי המרק והקומפוט לבין האורז תפוחי האדמה הירקות והבשר, והעיקר - איש לא ידע כמה אוכל נושא המנאז'. "
61,שניץ,פתח יציאה במכנסיים לעשיית דבר חשוב,"בעיר קראו למפתח המכנסיים חנות. בקיבוץ המילה 'חנות' נקשרה עם קנייה וכסף, הס מלהזכיר.
חשבו פרנסי המקום איך לכנות את אותו חלק במכנס . איך הם הגיעו ל'שניץ' לא ברור. במכנסי הקטנים היה רק גומי ועם גמילתם מהסיר קיבלו הזאטוטים מכנסיים, בהתחלה עם כתפיות, ושוב היתה בעיה. רוכסן מתקלקל בדיוק שצריך להשתמש בו והוא גם יקר. כפתורים זה פשוט וזול ולכן ברוב המכנסיים היו כפתורים לשניץ. הילדים תמיד ממהרים, ולכן לא כל כפתורי השניץ השתתפו בארועי הנעילה ויצא שלא מעט ילדים סובבו בחצר עם שניץ סגור חלקית..",לא ברור,-1,4,2,2029,"בעיר קראו למפתח המכנסיים חנות. בקיבוץ המילה 'חנות' נקשרה עם קנייה וכסף, הס מלהזכיר.
חשבו פרנסי המקום איך לכנות את אותו חלק במכנס . איך הם הגיעו ל'שניץ' לא ברור. במכנסי הקטנים היה רק גומי ועם גמילתם מהסיר קיבלו הזאטוטים מכנסיים, בהתחלה עם כתפיות, ושוב היתה בעיה. רוכסן מתקלקל בדיוק שצריך להשתמש בו והוא גם יקר. כפתורים זה פשוט וזול ולכן ברוב המכנסיים היו כפתורים לשניץ. הילדים תמיד ממהרים, ולכן לא כל כפתורי השניץ השתתפו בארועי הנעילה ויצא שלא מעט ילדים סובבו בחצר עם שניץ סגור חלקית.."
62,בית הגמדים,בית גדול מימדים בו גידלה אמא אחת 20 ילדים קטנים,"ממערב ל'רימון' היתה גדר ומאחוריה השתרע פרדס, שלא היה שייך לגבעת ברנר. בתוך הפרדס שאליו גם האמיצים שבילדים לא העזו להכנס, היה בית גדול ובו גרו רגינה עם 20 ילדיה, בגילאי 0 עד 15 בערך. לנו הם נראו כערבים או בדואים אך כנראה שהיה שם עירוב מעניין של אומות האיזור..מדי פעם היה מגיע ילד או ילדה אל הגדר להציץ ב'עולם הגדול' ומיד היה הופך לאטרקציה ולנושא לחיבור בבית הספר. אחד הילדים, יוסף, למד תקופה קצרה בכתה של אמיר נוישטט. בחלוף השנים התפזרה המשפחה, הפרדס נעקר ונותרו רק הבית הנטוש 13 הדקלים סביבו והאגדה. במרץ 2007 נהרס בית הגמדים לטובת השכונה החדשה... סליחה רגינה וכל הגמדים...",פולקלור של ילדי שנות ה- 50 וה- 60,-1,4,2,2131,"ממערב ל'רימון' היתה גדר ומאחוריה השתרע פרדס, שלא היה שייך לגבעת ברנר. בתוך הפרדס שאליו גם האמיצים שבילדים לא העזו להכנס, היה בית גדול ובו גרו רגינה עם 20 ילדיה, בגילאי 0 עד 15 בערך. לנו הם נראו כערבים או בדואים אך כנראה שהיה שם עירוב מעניין של אומות האיזור..מדי פעם היה מגיע ילד או ילדה אל הגדר להציץ ב'עולם הגדול' ומיד היה הופך לאטרקציה ולנושא לחיבור בבית הספר. אחד הילדים, יוסף, למד תקופה קצרה בכתה של אמיר נוישטט. בחלוף השנים התפזרה המשפחה, הפרדס נעקר ונותרו רק הבית הנטוש 13 הדקלים סביבו והאגדה. במרץ 2007 נהרס בית הגמדים לטובת השכונה החדשה... סליחה רגינה וכל הגמדים..."
63,אל תפ..הק!!,"משחק ילדים נפוץ, מתאים לגילאי 7 - 12","כדי לעודד תחרות בין הילדים הומצאו מספר משחקים בה נבחנה יכולת הילד/ה לרוץ, להטעות ולשמור על עירנות שיא. במשחק 'אל תפהק' עמדו 2 קבוצות במרחק של 30 מ' . אחד הילדים היה ניגש לקבוצה היריבה שחבריה היו מושיטים יד לפנים. הילד היה מחליק מכה ראשונה ואומר 'אל', שניה ואומר 'תפ' וכאן היו מתגלות 3 התכונות החשובות: עורמה זריזות ועירנות.. את המכה השלישית והצעקה 'הק' הוא היה מביא במפתיע ואץ-רץ חזרה כשהילד שידו נחבטה שועט אחריו. אם הוא היה מגיע בשלום לקבוצתו, ניצח ויש לו שבוי, אם נתפס, אוי לו ולתדמיתו.... ",שם עממי,-1,4,2,2286,"כדי לעודד תחרות בין הילדים הומצאו מספר משחקים בה נבחנה יכולת הילד/ה לרוץ, להטעות ולשמור על עירנות שיא. במשחק 'אל תפהק' עמדו 2 קבוצות במרחק של 30 מ' . אחד הילדים היה ניגש לקבוצה היריבה שחבריה היו מושיטים יד לפנים. הילד היה מחליק מכה ראשונה ואומר 'אל', שניה ואומר 'תפ' וכאן היו מתגלות 3 התכונות החשובות: עורמה זריזות ועירנות.. את המכה השלישית והצעקה 'הק' הוא היה מביא במפתיע ואץ-רץ חזרה כשהילד שידו נחבטה שועט אחריו. אם הוא היה מגיע בשלום לקבוצתו, ניצח ויש לו שבוי, אם נתפס, אוי לו ולתדמיתו.... "
64,בשר שטוח,מנת ה'גורמה' הקיבוצית בשנות ה- 60,"כמו הצבא, גם הקיבוץ צועד (לעבודה) על קיבתו..המוטו הזה היה תמיד נכון ועל כן הושקעה יצירתיות רבה בהכנת האוכל בקיבוץ שהקדיש תמיד תקציבי מינימום למטבח. פעם בשבועיים בימי ד' או ב' הוגש בארוחת הצהריים 'בשר שטוח' עם אורז ורוטב בשר חלומי..השינוי בימים היה בעיקר בשביל לשמור לחבר את גורם ההפתעה.
נתח הבשר היה מבקר ולא היתה חתיכה שדמתה לשכנתה במגש. קשר טוב לעובדי ה'ונציה' סייע בקבלת נתח גדול יותר. באותו יום היו מתגברים את ה'אבטחה' בחדר האוכל על מנת למנוע 'זליגות'..את הטעם המופלא יזכור כל מי שאי פעם נגס ..","לא ידוע, אך גם לנען היה בשר שטוח",-1,4,2,2052,"כמו הצבא, גם הקיבוץ צועד (לעבודה) על קיבתו..המוטו הזה היה תמיד נכון ועל כן הושקעה יצירתיות רבה בהכנת האוכל בקיבוץ שהקדיש תמיד תקציבי מינימום למטבח. פעם בשבועיים בימי ד' או ב' הוגש בארוחת הצהריים 'בשר שטוח' עם אורז ורוטב בשר חלומי..השינוי בימים היה בעיקר בשביל לשמור לחבר את גורם ההפתעה.
נתח הבשר היה מבקר ולא היתה חתיכה שדמתה לשכנתה במגש. קשר טוב לעובדי ה'ונציה' סייע בקבלת נתח גדול יותר. באותו יום היו מתגברים את ה'אבטחה' בחדר האוכל על מנת למנוע 'זליגות'..את הטעם המופלא יזכור כל מי שאי פעם נגס .."
65,דודס חלק א',"משחק ילדים פופולרי, מסוכן לעיניים","שילוב קטלני של משחק ה'הקפות', 'שבע אבנים'  וקפא""פ שנועד לשפר את המיומנויות של הילד היהודי החדש שאינו ירא מכלום. קבוצת הבית עומדת ליד אבן גדולה וקבוצת השדה עומדת סביב. אחד הילדים לפי תור חובט בנבוט בכפיס עץ מחודד משני צדדיו (15-20 ס""מ)למרחק. תפקיד קבוצת השדה לתפוס את הדודס באויר (מסוכן) ואז נשרפת קבוצת הבית. לא תפסו, זורקים את הדודס אל האבן הגדולה. אם פגעו נשרף המכה, אם לא, הוא יכול להקפיץ את הדודס לגובה ולחבוט שנית. לאחר מכן נמדד המרחק של הדודס מהאבן ביחידות אורך הנבוט ונצברות נקודות לקבוצת הבית",משחק ילדים ישראלי בגירסה 'ברנרית',-1,4,2,2249,"שילוב קטלני של משחק ה'הקפות', 'שבע אבנים'  וקפא""פ שנועד לשפר את המיומנויות של הילד היהודי החדש שאינו ירא מכלום. קבוצת הבית עומדת ליד אבן גדולה וקבוצת השדה עומדת סביב. אחד הילדים לפי תור חובט בנבוט בכפיס עץ מחודד משני צדדיו (15-20 ס""מ)למרחק. תפקיד קבוצת השדה לתפוס את הדודס באויר (מסוכן) ואז נשרפת קבוצת הבית. לא תפסו, זורקים את הדודס אל האבן הגדולה. אם פגעו נשרף המכה, אם לא, הוא יכול להקפיץ את הדודס לגובה ולחבוט שנית. לאחר מכן נמדד המרחק של הדודס מהאבן ביחידות אורך הנבוט ונצברות נקודות לקבוצת הבית"
66,דודס חלק ב',חלקו השני של משחק הילדים הפופולרי בגבעה,"על קבוצת הבית ל'הריץ' את קבוצת השדה ברחבי ה'מחנה'. כדי לדעת לכמה חבטות 'דודס' הם זכאים, מקפיץ כל אחד בתורו את ה'דודס' על הנבוט. נקבע מספר המכות וכל אחד בתורו מכה ב'דודס'. במקום שנפל ה'דודס' ממשיך השני להכות וכך הלאה. בתום ההרחקה שיכולה להגיע לקילומטר ויותר נערכת קבוצת השדה ל'רוץ ללא אויר' עד מקום האבן הגדולה. כל אחד בתורו לוקח אויר מלוא הריאות ומתחיל לרוץ, כאשר אחד מקבוצת הבית נצמד אליו לוודא שהוא לא נושם. מהמקום שעצר ממשיך הבא בתור והמטרה - להגיע עד האבן ללא אויר, וכך לנצח במשחק..",משחק ישראלי מצוי,-1,4,2,1880,"על קבוצת הבית ל'הריץ' את קבוצת השדה ברחבי ה'מחנה'. כדי לדעת לכמה חבטות 'דודס' הם זכאים, מקפיץ כל אחד בתורו את ה'דודס' על הנבוט. נקבע מספר המכות וכל אחד בתורו מכה ב'דודס'. במקום שנפל ה'דודס' ממשיך השני להכות וכך הלאה. בתום ההרחקה שיכולה להגיע לקילומטר ויותר נערכת קבוצת השדה ל'רוץ ללא אויר' עד מקום האבן הגדולה. כל אחד בתורו לוקח אויר מלוא הריאות ומתחיל לרוץ, כאשר אחד מקבוצת הבית נצמד אליו לוודא שהוא לא נושם. מהמקום שעצר ממשיך הבא בתור והמטרה - להגיע עד האבן ללא אויר, וכך לנצח במשחק.."
67,תוכן,אוכל מוצק בתחתית סיר המרק,"לפני היציאה של חברי הגבעה לעבודות בפרדסי הסביבה בשנות ה- 30, האקונומית היתה מציידת אותם ליום העבודה, בפת לחם, חתיכת חלווה וירק, בדר""כ כרוב. עם השנים הם קיבלו סיר מרק שסביבו היו יושבים לארוחת הצהריים. בתחתית הסיר שכן ה'תוכן', האוכל האמיתי ועבורו היו מוכנים למות..
חלפו שנים ארוכות ובחדר האוכל היתה עוברת עגלת המרק ולכל שולחן היה ממלא התורן את הקערה. ותיקי הישוב היו בוחנים דבר ראשון - מכמה עמוק הוא שאב את המרק וכמה תוכן הוא שם להם. כמעט תמיד זה לא סיפק אותם והם היו קוראים בקול, ובמבטא: עוד תוכן...",עממי,-1,4,2,1964,"לפני היציאה של חברי הגבעה לעבודות בפרדסי הסביבה בשנות ה- 30, האקונומית היתה מציידת אותם ליום העבודה, בפת לחם, חתיכת חלווה וירק, בדר""כ כרוב. עם השנים הם קיבלו סיר מרק שסביבו היו יושבים לארוחת הצהריים. בתחתית הסיר שכן ה'תוכן', האוכל האמיתי ועבורו היו מוכנים למות..
חלפו שנים ארוכות ובחדר האוכל היתה עוברת עגלת המרק ולכל שולחן היה ממלא התורן את הקערה. ותיקי הישוב היו בוחנים דבר ראשון - מכמה עמוק הוא שאב את המרק וכמה תוכן הוא שם להם. כמעט תמיד זה לא סיפק אותם והם היו קוראים בקול, ובמבטא: עוד תוכן..."
68,מחנה ארגון,מחנה הכנה בסתו של החטיבה,"בסוף שנות ה- 50 חשבו הוגי רעיון החטיבה איך להכניס את בני הנוער לפעילות נמרצת לאחר החופש הגדול וכך נולד מחנה ארגון. כל בני החטיבה מכיתה ח' - י""ב יצאו לפי מחנות: אמיר ארז אלון וניצן לאחת החורשות בארץ ובמשך 3 ימים התחרו ביניהם מי בונה את המחנה היפה ביותר (מחנאות), מי מכין את הארוחה הטעימה ביותר, מי מנצח במשיכת חבל, מחניים ושאר תחרויות ספורט טבלאי ושימושי וכמובן מי עושה 'מורל' יותר גבוה..  התחרות העזה בין המחנות הביאה לשילוב מרתק בין בני ה- 14 וה- 18 ויצרה מסורת חביבה שנשמרה למעלה משני עשורים.
",לא ברור,-1,4,2,1849,"בסוף שנות ה- 50 חשבו הוגי רעיון החטיבה איך להכניס את בני הנוער לפעילות נמרצת לאחר החופש הגדול וכך נולד מחנה ארגון. כל בני החטיבה מכיתה ח' - י""ב יצאו לפי מחנות: אמיר ארז אלון וניצן לאחת החורשות בארץ ובמשך 3 ימים התחרו ביניהם מי בונה את המחנה היפה ביותר (מחנאות), מי מכין את הארוחה הטעימה ביותר, מי מנצח במשיכת חבל, מחניים ושאר תחרויות ספורט טבלאי ושימושי וכמובן מי עושה 'מורל' יותר גבוה..  התחרות העזה בין המחנות הביאה לשילוב מרתק בין בני ה- 14 וה- 18 ויצרה מסורת חביבה שנשמרה למעלה משני עשורים.
"
